GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dp_2p2022_app_dms_team1,default,MagazineBuilder,9,82,0,0,2,22,2,10,2,10
dp_2p2022_app_dms_team1,default,BookBuilder,4,84,0,0,1,23,1,11,1,11
dp_2p2022_app_dms_team1,default,CategoriesI,0,33,0,0,0,2,0,1,0,1
dp_2p2022_app_dms_team1,default,Languages,0,57,0,0,0,2,0,1,0,1
dp_2p2022_app_dms_team1,default,Formats,0,21,0,0,0,2,0,1,0,1
dp_2p2022_app_dms_team1,default,ScientificBuilder,4,96,0,0,1,23,1,11,1,11
dp_2p2022_app_dms_team1,default,Document,32,73,0,0,7,28,4,17,4,17
dp_2p2022_app_dms_team1,default,DocumentBuilder,5,14,0,0,1,4,1,3,1,3
dp_2p2022_app_dms_team1,default,ThesisBuilder,90,0,0,0,23,0,11,0,11,0
dp_2p2022_app_dms_team1,default,Library,0,42,0,0,0,15,0,4,0,4
dp_2p2022_app_dms_team1,default,Client,58,0,5,0,20,0,6,0,2,0
